Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2020-06-27 06:15:09,wlp3s0,1.00,1.00,0.09,0.12,0.00,0.00,0.00,0.00
2020-06-27 06:15:10,enp0s31f6,1.00,6.00,0.09,0.70,0.00,0.00,1.00,0.00
2020-06-27 06:15:10,lo,4.00,4.00,0.36,0.36,0.00,0.00,0.00,0.00
2020-06-27 06:15:10,wlp3s0,3.00,3.00,0.23,0.30,0.00,0.00,0.00,0.00
2020-06-27 06:15:11,enp0s31f6,498.00,6.00,660.77,1.07,0.00,0.00,2.00,0.54
2020-06-27 06:15:11,lo,192.00,192.00,6165.32,6165.32,0.00,0.00,0.00,0.00
2020-06-27 06:15:11,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:15:12,enp0s31f6,11620.00,3.00,16206.68,0.28,0.00,0.00,0.00,13.28
2020-06-27 06:15:12,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:12,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:13,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:13,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:13,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:14,enp0s31f6,11620.00,5.00,16206.68,0.79,0.00,0.00,0.00,13.28
2020-06-27 06:15:14,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:15:14,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:15,enp0s31f6,11622.00,4.00,16206.86,0.37,0.00,0.00,2.00,13.28
2020-06-27 06:15:15,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:15,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:16,enp0s31f6,11622.00,6.00,16206.85,0.58,0.00,0.00,3.00,13.28
2020-06-27 06:15:16,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:16,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:17,enp0s31f6,11620.00,2.00,16206.68,0.18,0.00,0.00,0.00,13.28
2020-06-27 06:15:17,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:17,wlp3s0,2.00,3.00,0.20,0.48,0.00,0.00,0.00,0.00
2020-06-27 06:15:18,enp0s31f6,11627.00,6.00,16215.66,0.70,0.00,0.00,1.00,13.28
2020-06-27 06:15:18,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:15:18,wlp3s0,4.00,3.00,0.49,3.31,0.00,0.00,0.00,0.00
2020-06-27 06:15:19,enp0s31f6,11615.00,5.00,16197.87,0.97,0.00,0.00,1.00,13.27
2020-06-27 06:15:19,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:19,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:20,enp0s31f6,11629.00,3.00,16219.33,0.28,0.00,0.00,0.00,13.29
2020-06-27 06:15:20,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:20,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:15:21,enp0s31f6,11619.00,3.00,16204.49,0.27,0.00,0.00,1.00,13.27
2020-06-27 06:15:21,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:21,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:22,enp0s31f6,11625.00,8.00,16209.22,1.08,0.00,0.00,3.00,13.28
2020-06-27 06:15:22,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:15:22,wlp3s0,1.00,1.00,0.05,0.07,0.00,0.00,0.00,0.00
2020-06-27 06:15:23,enp0s31f6,11620.00,2.00,16206.68,0.18,0.00,0.00,0.00,13.28
2020-06-27 06:15:23,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:23,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:15:24,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:15:24,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:24,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:25,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:25,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:25,wlp3s0,2.00,1.00,0.15,0.12,0.00,0.00,0.00,0.00
2020-06-27 06:15:26,enp0s31f6,11620.00,5.00,16206.68,0.60,0.00,0.00,0.00,13.28
2020-06-27 06:15:26,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:15:26,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:15:27,enp0s31f6,11631.00,6.00,16219.51,1.07,0.00,0.00,2.00,13.29
2020-06-27 06:15:27,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:27,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:28,enp0s31f6,11622.00,6.00,16206.83,0.67,0.00,0.00,1.00,13.28
2020-06-27 06:15:28,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:28,wlp3s0,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00
2020-06-27 06:15:29,enp0s31f6,11617.00,4.00,16200.13,0.37,0.00,0.00,2.00,13.27
2020-06-27 06:15:29,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:29,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:30,enp0s31f6,11623.00,5.00,16211.13,0.79,0.00,0.00,0.00,13.28
2020-06-27 06:15:30,lo,1925.00,1925.00,61653.65,61653.65,0.00,0.00,0.00,0.00
2020-06-27 06:15:30,wlp3s0,3.00,5.00,0.48,0.72,0.00,0.00,0.00,0.00
2020-06-27 06:15:31,enp0s31f6,11614.00,3.00,16196.39,0.27,0.00,0.00,1.00,13.27
2020-06-27 06:15:31,lo,1921.00,1921.00,61653.31,61653.31,0.00,0.00,0.00,0.00
2020-06-27 06:15:31,wlp3s0,1.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:32,enp0s31f6,11630.00,4.00,16219.42,0.38,0.00,0.00,1.00,13.29
2020-06-27 06:15:32,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:32,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:33,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:33,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:33,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:34,enp0s31f6,11621.00,6.00,16206.77,0.70,0.00,0.00,1.00,13.28
2020-06-27 06:15:34,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:15:34,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:35,enp0s31f6,11621.00,5.00,16206.77,0.97,0.00,0.00,1.00,13.28
2020-06-27 06:15:35,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:35,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:15:36,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:15:36,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:36,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:37,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:37,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:37,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:38,enp0s31f6,11620.00,5.00,16206.68,0.79,0.00,0.00,0.00,13.28
2020-06-27 06:15:38,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:15:38,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:39,enp0s31f6,11623.00,5.00,16206.94,0.47,0.00,0.00,3.00,13.28
2020-06-27 06:15:39,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:39,wlp3s0,1.00,2.00,0.06,0.29,0.00,0.00,0.00,0.00
2020-06-27 06:15:40,enp0s31f6,11620.00,3.00,16206.68,0.28,0.00,0.00,0.00,13.28
