recv_stamp,msg_stamp
1593252647174409137,1593252647152274582
1593252647302786648,1593252647265275940
1593252647433034655,1593252647391803933
1593252647559159222,1593252647526218319
1593252647687644038,1593252647652816241
1593252647817684427,1593252647781033744
1593252647943560365,1593252647911406502
1593252648071986583,1593252648037143211
1593252648198311020,1593252648165277290
1593252648323139641,1593252648291909746
1593252648456177631,1593252648420044727
1593252648587799672,1593252648553603266
1593252648710941466,1593252648680952324
1593252648839756156,1593252648807515324
1593252648968659038,1593252648937149755
1593252649113343662,1593252649065283845
1593252649228980197,1593252649198905129
1593252649365024198,1593252649326202241
1593252649489758573,1593252649459913441
1593252649622023131,1593252649587159070
1593252649752213438,1593252649719194042
1593252649879395105,1593252649849720079
1593252650007596148,1593252649976250087
1593252650134038242,1593252650104402899
1593252650262385928,1593252650231001755
1593252650392921781,1593252650359915847
1593252650515797629,1593252650486438960
1593252650644669362,1593252650613786314
1593252650773908044,1593252650741912137
1593252650903534189,1593252650870773109
1593252651030266585,1593252651000523075
1593252651158895255,1593252651127869735
1593252651287311728,1593252651256042609
1593252651409119769,1593252651385643356
1593252651536101392,1593252651505951499
1593252651666074293,1593252651633298227
1593252651793473328,1593252651763010820
1593252651919451712,1593252651890309440
1593252652047864411,1593252652016959330
1593252652174536255,1593252652145029100
1593252652302883332,1593252652271617646
1593252652429185470,1593252652399765456
1593252652559248540,1593252652526241878
1593252652590791361,1593252652578636866
1593252652719542501,1593252652688788708
1593252652848161810,1593252652816973860
1593252652962901625,1593252652931013032
1593252653006312854,1593252652990349720
1593252653134934722,1593252653103659376
1593252653263806637,1593252653232583512
1593252653355192544,1593252653323960020
1593252653435957529,1593252653409025406
1593252653560089206,1593252653532513539
1593252653686364600,1593252653657512092
1593252653731755967,1593252653719204348
1593252653842620395,1593252653808301571
1593252653975307568,1593252653939613445
1593252654105405561,1593252654071648308
1593252654147821558,1593252654135655886
1593252654275828957,1593252654245840822
1593252654404254081,1593252654373137477
1593252654502696819,1593252654473152220
1593252654541697282,1593252654527851448
1593252654666824009,1593252654639568816
1593252654795053175,1593252654764617017
1593252654891573722,1593252654856906311
1593252654936451250,1593252654920798447
1593252655060880896,1593252655032546524
1593252655189247492,1593252655158294923
1593252655273668306,1593252655247408094
1593252655321343234,1593252655305982162
1593252655452920632,1593252655418484825
1593252655580821646,1593252655549747200
1593252655648467308,1593252655634933475
1593252655754709715,1593252655723965977
1593252655883766633,1593252655852064367
1593252656013180016,1593252655980972354
1593252656037185104,1593252656024668824
1593252656159311035,1593252656128696803
1593252656284638862,1593252656256823960
1593252656410506399,1593252656380192574
1593252656423851664,1593252656411440478
1593252656550967132,1593252656521624579
1593252656675012437,1593252656648151326
1593252656790678968,1593252656761515019
1593252656818339725,1593252656804407220
1593252656942380844,1593252656913886350
1593252657069698128,1593252657039600935
