Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2020-06-27 06:10:28,enp0s31f6,11621.00,5.00,16206.77,1.08,0.00,0.00,1.00,13.28
2020-06-27 06:10:28,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:28,wlp3s0,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00
2020-06-27 06:10:29,enp0s31f6,11611.00,4.00,16194.03,0.86,0.00,0.00,0.00,13.27
2020-06-27 06:10:29,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:29,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:10:30,enp0s31f6,11071.00,25.00,15423.80,3.65,0.00,0.00,1.00,12.64
2020-06-27 06:10:30,lo,103.00,103.00,32.38,32.38,0.00,0.00,0.00,0.00
2020-06-27 06:10:30,wlp3s0,4.00,7.00,0.64,0.97,0.00,0.00,0.00,0.00
2020-06-27 06:10:31,enp0s31f6,2.00,6.00,0.18,0.54,0.00,0.00,2.00,0.00
2020-06-27 06:10:31,lo,6.00,6.00,0.77,0.77,0.00,0.00,0.00,0.00
2020-06-27 06:10:31,wlp3s0,3.00,3.00,0.19,0.28,0.00,0.00,0.00,0.00
2020-06-27 06:10:32,enp0s31f6,1.00,28.00,0.09,8.19,0.00,0.00,1.00,0.01
2020-06-27 06:10:32,lo,59.00,59.00,25.62,25.62,0.00,0.00,0.00,0.00
2020-06-27 06:10:32,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:10:33,enp0s31f6,0.00,3.00,0.00,0.28,0.00,0.00,0.00,0.00
2020-06-27 06:10:33,lo,5.00,5.00,1.22,1.22,0.00,0.00,0.00,0.00
2020-06-27 06:10:33,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:34,enp0s31f6,1.00,3.00,0.09,0.27,0.00,0.00,1.00,0.00
2020-06-27 06:10:34,lo,2.00,2.00,0.70,0.70,0.00,0.00,0.00,0.00
2020-06-27 06:10:34,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:35,enp0s31f6,2.00,5.00,0.18,0.48,0.00,0.00,2.00,0.00
2020-06-27 06:10:35,lo,2.00,2.00,0.70,0.70,0.00,0.00,0.00,0.00
2020-06-27 06:10:35,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:10:36,enp0s31f6,0.00,2.00,0.00,0.18,0.00,0.00,0.00,0.00
2020-06-27 06:10:36,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:36,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:10:37,enp0s31f6,2.00,5.00,0.18,0.48,0.00,0.00,2.00,0.00
2020-06-27 06:10:37,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:37,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:38,enp0s31f6,1.00,7.00,0.09,1.29,0.00,0.00,1.00,0.00
2020-06-27 06:10:38,lo,4.00,4.00,0.36,0.36,0.00,0.00,0.00,0.00
2020-06-27 06:10:38,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:10:39,enp0s31f6,2.00,5.00,0.18,0.48,0.00,0.00,2.00,0.00
2020-06-27 06:10:39,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:39,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:40,enp0s31f6,2.00,7.00,0.18,1.09,0.00,0.00,2.00,0.00
2020-06-27 06:10:40,lo,2.00,2.00,0.18,0.18,0.00,0.00,0.00,0.00
2020-06-27 06:10:40,wlp3s0,0.00,1.00,0.00,0.24,0.00,0.00,0.00,0.00
2020-06-27 06:10:41,enp0s31f6,2.00,6.00,0.18,0.69,0.00,0.00,2.00,0.00
2020-06-27 06:10:41,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:41,wlp3s0,1.00,3.00,0.13,0.62,0.00,0.00,0.00,0.00
2020-06-27 06:10:42,enp0s31f6,0.00,3.00,0.00,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:10:42,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:42,wlp3s0,0.00,1.00,0.00,0.24,0.00,0.00,0.00,0.00
2020-06-27 06:10:43,enp0s31f6,1.00,5.00,0.09,0.59,0.00,0.00,1.00,0.00
2020-06-27 06:10:43,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:43,wlp3s0,4.00,5.00,0.22,0.60,0.00,0.00,0.00,0.00
2020-06-27 06:10:44,enp0s31f6,0.00,2.00,0.00,0.18,0.00,0.00,0.00,0.00
2020-06-27 06:10:44,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:44,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:10:45,enp0s31f6,2.00,5.00,0.18,0.48,0.00,0.00,2.00,0.00
2020-06-27 06:10:45,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:45,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:46,enp0s31f6,1.00,7.00,0.09,1.29,0.00,0.00,1.00,0.00
2020-06-27 06:10:46,lo,4.00,4.00,0.36,0.36,0.00,0.00,0.00,0.00
2020-06-27 06:10:46,wlp3s0,1.00,1.00,0.06,0.09,0.00,0.00,0.00,0.00
2020-06-27 06:10:47,enp0s31f6,4042.00,3.00,5610.90,0.28,0.00,0.00,0.00,4.60
2020-06-27 06:10:47,lo,576.00,576.00,18495.96,18495.96,0.00,0.00,0.00,0.00
2020-06-27 06:10:47,wlp3s0,3.00,4.00,0.31,0.62,0.00,0.00,0.00,0.00
2020-06-27 06:10:48,enp0s31f6,11613.00,6.00,16194.20,0.88,0.00,0.00,2.00,13.27
2020-06-27 06:10:48,lo,1538.00,1538.00,49322.74,49322.74,0.00,0.00,0.00,0.00
2020-06-27 06:10:48,wlp3s0,3.00,4.00,0.21,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:10:49,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:10:49,lo,1536.00,1536.00,49322.56,49322.56,0.00,0.00,0.00,0.00
2020-06-27 06:10:49,wlp3s0,4.00,4.00,0.35,0.46,0.00,0.00,0.00,0.00
2020-06-27 06:10:50,enp0s31f6,11622.00,4.00,16206.86,0.37,0.00,0.00,2.00,13.28
2020-06-27 06:10:50,lo,1344.00,1344.00,43157.24,43157.24,0.00,0.00,0.00,0.00
2020-06-27 06:10:50,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:10:51,enp0s31f6,11629.00,3.00,16219.33,0.28,0.00,0.00,0.00,13.29
2020-06-27 06:10:51,lo,1540.00,1540.00,49322.94,49322.94,0.00,0.00,0.00,0.00
2020-06-27 06:10:51,wlp3s0,3.00,4.00,0.48,0.60,0.00,0.00,0.00,0.00
2020-06-27 06:10:52,enp0s31f6,11621.00,5.00,16206.77,0.47,0.00,0.00,1.00,13.28
2020-06-27 06:10:52,lo,1536.00,1536.00,49322.56,49322.56,0.00,0.00,0.00,0.00
2020-06-27 06:10:52,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:53,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:10:53,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:10:53,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:10:54,enp0s31f6,11621.00,7.00,16206.77,1.29,0.00,0.00,1.00,13.28
2020-06-27 06:10:54,lo,1799.00,1799.00,57639.58,57639.58,0.00,0.00,0.00,0.00
2020-06-27 06:10:54,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:10:55,enp0s31f6,11629.00,3.00,16219.33,0.28,0.00,0.00,0.00,13.29
2020-06-27 06:10:55,lo,2045.00,2045.00,65667.18,65667.18,0.00,0.00,0.00,0.00
2020-06-27 06:10:55,wlp3s0,2.00,1.00,0.15,0.12,0.00,0.00,0.00,0.00
2020-06-27 06:10:56,enp0s31f6,11621.00,5.00,16206.77,0.78,0.00,0.00,1.00,13.28
2020-06-27 06:10:56,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:10:56,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:10:57,enp0s31f6,11622.00,5.00,16206.86,0.48,0.00,0.00,2.00,13.28
2020-06-27 06:10:57,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:10:57,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:10:58,enp0s31f6,11620.00,3.00,16206.68,0.40,0.00,0.00,0.00,13.28
2020-06-27 06:10:58,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:10:58,wlp3s0,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00
2020-06-27 06:10:59,enp0s31f6,11632.00,6.00,16219.60,0.58,0.00,0.00,3.00,13.29
2020-06-27 06:10:59,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:10:59,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:00,enp0s31f6,11626.00,2.00,16215.57,0.18,0.00,0.00,0.00,13.28
2020-06-27 06:11:00,lo,1783.00,1783.00,57253.91,57253.91,0.00,0.00,0.00,0.00
2020-06-27 06:11:00,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:01,enp0s31f6,11615.00,4.00,16197.87,0.38,0.00,0.00,1.00,13.27
2020-06-27 06:11:01,lo,1865.00,1865.00,59887.18,59887.18,0.00,0.00,0.00,0.00
2020-06-27 06:11:01,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:11:02,enp0s31f6,11622.00,8.00,16206.86,1.39,0.00,0.00,2.00,13.28
2020-06-27 06:11:02,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:11:02,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:11:03,enp0s31f6,11630.00,4.00,16219.42,0.38,0.00,0.00,1.00,13.29
2020-06-27 06:11:03,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:03,wlp3s0,4.00,4.00,0.49,3.41,0.00,0.00,0.00,0.00
2020-06-27 06:11:04,enp0s31f6,11622.00,6.00,16206.83,0.84,0.00,0.00,1.00,13.28
2020-06-27 06:11:04,lo,1874.00,1874.00,60111.82,60111.82,0.00,0.00,0.00,0.00
2020-06-27 06:11:04,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:11:05,enp0s31f6,11631.00,5.00,16219.51,0.48,0.00,0.00,2.00,13.29
2020-06-27 06:11:05,lo,1968.00,1968.00,63194.76,63194.76,0.00,0.00,0.00,0.00
2020-06-27 06:11:05,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:06,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:11:06,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:06,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:07,enp0s31f6,11612.00,4.00,16194.11,0.38,0.00,0.00,1.00,13.27
2020-06-27 06:11:07,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:07,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:11:08,enp0s31f6,11630.00,3.00,16219.42,0.27,0.00,0.00,1.00,13.29
2020-06-27 06:11:08,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:08,wlp3s0,2.00,2.00,0.20,0.29,0.00,0.00,0.00,0.00
2020-06-27 06:11:09,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:11:09,lo,1728.00,1728.00,55487.88,55487.88,0.00,0.00,0.00,0.00
2020-06-27 06:11:09,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:10,enp0s31f6,11621.00,7.00,16206.77,1.29,0.00,0.00,1.00,13.28
2020-06-27 06:11:10,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:11:10,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:11:11,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:11:11,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:11,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:12,enp0s31f6,11621.00,5.00,16206.77,0.78,0.00,0.00,1.00,13.28
2020-06-27 06:11:12,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:11:12,wlp3s0,2.00,3.00,0.15,0.40,0.00,0.00,0.00,0.00
2020-06-27 06:11:13,enp0s31f6,11629.00,3.00,16219.33,0.28,0.00,0.00,0.00,13.29
2020-06-27 06:11:13,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:13,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:11:14,enp0s31f6,11622.00,4.00,16206.86,0.37,0.00,0.00,2.00,13.28
2020-06-27 06:11:14,lo,1728.00,1728.00,55487.88,55487.88,0.00,0.00,0.00,0.00
2020-06-27 06:11:14,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:15,enp0s31f6,11620.00,3.00,16206.68,0.28,0.00,0.00,0.00,13.28
2020-06-27 06:11:15,lo,2112.00,2112.00,67818.52,67818.52,0.00,0.00,0.00,0.00
2020-06-27 06:11:15,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:11:16,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:11:16,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:11:16,wlp3s0,3.00,3.00,0.19,0.28,0.00,0.00,0.00,0.00
2020-06-27 06:11:17,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
