recv_stamp,msg_stamp
1592492565136076471,1592492565107804092
1592492565214698897,1592492565191328198
1592492565272376317,1592492565257709931
1592492565400173708,1592492565370287964
1592492565525928114,1592492565497618222
1592492565584598223,1592492565570203325
1592492565647582862,1592492565628026835
1592492565773109218,1592492565744482798
1592492565900155459,1592492565870277317
1592492565958793619,1592492565944448418
1592492566066068769,1592492566037468019
1592492566191301329,1592492566163235641
1592492566317772135,1592492566288988825
1592492566337991045,1592492566325681816
1592492566449178558,1592492566417931605
1592492566574791566,1592492566546040283
1592492566698545383,1592492566671836852
1592492566723120694,1592492566710062757
1592492566836950307,1592492566821001837
1592492566962497334,1592492566934340191
1592492567078815350,1592492567047688670
1592492567118576307,1592492567106259990
1592492567228871447,1592492567216437750
1592492567357423405,1592492567326601144
1592492567453096275,1592492567417175702
1592492567533340319,1592492567498449143
1592492567658739675,1592492567629732304
1592492567786833837,1592492567755516138
1592492567842196729,1592492567827356982
1592492567941394648,1592492567907877905
1592492568068944239,1592492568038331041
1592492568195308413,1592492568165617001
1592492568255173511,1592492568242872955
1592492568383781743,1592492568353141047
1592492568510375534,1592492568480529612
1592492568606269610,1592492568572703963
1592492568692870408,1592492568660913526
1592492568819888564,1592492568789852013
1592492568945890499,1592492568917166123
1592492568990887183,1592492568978157249
1592492569060546670,1592492569035901605
1592492569182852478,1592492569157014414
1592492569310355288,1592492569280475544
1592492569365771644,1592492569353064350
1592492569453723613,1592492569421861783
1592492569580398891,1592492569550828344
1592492569705926298,1592492569677360609
1592492569751238872,1592492569739006107
1592492569881726551,1592492569849233728
1592492570008895683,1592492569978904891
1592492570126969017,1592492570096101783
1592492570252130614,1592492570220381513
1592492570379322675,1592492570349294018
1592492570504178239,1592492570473511949
1592492570537204216,1592492570522607496
1592492570664863481,1592492570634402875
1592492570790556357,1592492570761716491
1592492570893013296,1592492570859395780
1592492570942097510,1592492570927393664
1592492571067177425,1592492571039856511
1592492571191804156,1592492571164134912
1592492571264503387,1592492571244574186
1592492571374304589,1592492571339927074
1592492571502582706,1592492571471148285
1592492571630598092,1592492571600027261
1592492571655371824,1592492571642897624
1592492571784413216,1592492571753161889
1592492571910665458,1592492571881262568
1592492572028389390,1592492571999259561
1592492572053944234,1592492572040697021
1592492572180640860,1592492572151636120
1592492572309270049,1592492572278178985
1592492572414931103,1592492572383713406
1592492572454600065,1592492572442281111
1592492572583343247,1592492572552439084
1592492572709859476,1592492572680600372
1592492572802516982,1592492572769632013
1592492572846385585,1592492572832094824
1592492572974007813,1592492572943854978
1592492573102816871,1592492573071151078
1592492573192582305,1592492573160213283
1592492573294384190,1592492573264902003
1592492573422780047,1592492573391514482
1592492573549172996,1592492573519642317
1592492573587950407,1592492573563388896
1592492573707425787,1592492573675901658
1592492573834298372,1592492573804828754
1592492573960642155,1592492573931329832
1592492573975300451,1592492573964134026
1592492574104585618,1592492574073575890
1592492574232968899,1592492574201682389
1592492574348600231,1592492574317304130
1592492574373927054,1592492574360250405
1592492574502958815,1592492574471914136
1592492574635674825,1592492574600062770
1592492574743773304,1592492574711003821
1592492574765655517,1592492574752434399
1592492574896671567,1592492574863413186
1592492575018441568,1592492574993905417
1592492575128984142,1592492575096159944
1592492575153133245,1592492575141439504
1592492575282474702,1592492575250910122
1592492575410062014,1592492575379821949
1592492575518170809,1592492575484512508
1592492575603182158,1592492575572828930
1592492575734772676,1592492575700074519
1592492575843786028,1592492575831390725
1592492575890850457,1592492575876691572
1592492575985518642,1592492575951700431
1592492576112980495,1592492576082120848
1592492576239524562,1592492576210297957
1592492576278360370,1592492576265764829
1592492576383795099,1592492576353990608
1592492576510458648,1592492576480636087
1592492576639246897,1592492576607873916
1592492576662471654,1592492576650025183
1592492576782233774,1592492576750133619
1592492576908957755,1592492576878994874
1592492577035780760,1592492577006366353
1592492577048158442,1592492577035206503
1592492577174598666,1592492577143840798
1592492577300939095,1592492577271956675
1592492577424707785,1592492577393079426
1592492577441443515,1592492577430503785
1592492577569791157,1592492577539184409
1592492577698946200,1592492577667268618
1592492577810648308,1592492577780637807
1592492577845133656,1592492577832876329
1592492577974348675,1592492577943051806
1592492578100660726,1592492578071214030
1592492578196586886,1592492578165771137
1592492578246078569,1592492578232117281
1592492578371548875,1592492578343872620
1592492578496541772,1592492578468846643
1592492578572769537,1592492578547801833
1592492578681303479,1592492578650867201
1592492578809418244,1592492578778287006
1592492578938570854,1592492578906444553
1592492578966200545,1592492578946277222
1592492579089299725,1592492579057918882
1592492579215615296,1592492579186040126
1592492579340809523,1592492579311063126
1592492579358084234,1592492579347726070
1592492579488601975,1592492579456394492
1592492579615287997,1592492579585294413
1592492579725098774,1592492579696249108
1592492579758063564,1592492579747898498
1592492579890196174,1592492579855662834
1592492580019621482,1592492579986876616
1592492580114811638,1592492580082907189
1592492580156154504,1592492580139218355
1592492580284804027,1592492580254025888
1592492580410888379,1592492580382153588
1592492580505150929,1592492580473552556
1592492580592183580,1592492580564966960
1592492580719879495,1592492580689232129
1592492580849008541,1592492580817312535
1592492580887576738,1592492580875883196
1592492580993063395,1592492580961908435
1592492581119468125,1592492581089989827
1592492581248800378,1592492581216585441
1592492581272664353,1592492581260306570
1592492581393768811,1592492581361890030
1592492581523332043,1592492581490856422
1592492581652877446,1592492581620521578
1592492581665440117,1592492581650577903
1592492581793891286,1592492581763490175
1592492581922668784,1592492581890842791
1592492582045605414,1592492582011900884
1592492582172561319,1592492582140847814
1592492582299646984,1592492582269792846
1592492582420354501,1592492582390879798
1592492582445747216,1592492582431398444
1592492582573428488,1592492582543163876
1592492582703506138,1592492582670532962
1592492582810808621,1592492582779912157
1592492582845651930,1592492582832878691
1592492582974691097,1592492582943907758
1592492583100995938,1592492583072032481
1592492583199497562,1592492583167372862
1592492583287054864,1592492583260327367
1592492583414763413,1592492583383805519
1592492583543822001,1592492583511865587
1592492583584997082,1592492583569755954
1592492583698920845,1592492583665860667
1592492583826287546,1592492583796256726
1592492583935999518,1592492583923683049
1592492583950907049,1592492583942471425
1592492584072054258,1592492584043156119
1592492584199917405,1592492584169795227
1592492584325279649,1592492584294809116
1592492584341078672,1592492584329819733
1592492584472300133,1592492584439308567
1592492584599909886,1592492584569793099
1592492584714274470,1592492584682284072
1592492584728850244,1592492584716618383
1592492584859322768,1592492584826779792
1592492584983417962,1592492584956457641
1592492585100297314,1592492585068180000
1592492585141520036,1592492585129131057
1592492585270536366,1592492585239269911
1592492585396693775,1592492585367394788
1592492585480048690,1592492585454842901
1592492585588892553,1592492585555722807
1592492585716322922,1592492585686161859
1592492585842179490,1592492585813492858
1592492585864778023,1592492585852480322
1592492585985488926,1592492585954094945
1592492586113644200,1592492586082296022
1592492586240669994,1592492586210432377
1592492586255573663,1592492586243901652
1592492586389710237,1592492586353445252
1592492586516262908,1592492586486176950
1592492586631180469,1592492586600221747
1592492586660111505,1592492586647882972
1592492586786846177,1592492586758008305
1592492586914935030,1592492586884646075
1592492587018473637,1592492586985434103
1592492587051956790,1592492587037754335
1592492587179837824,1592492587149495494
1592492587308666822,1592492587276843814
1592492587396761144,1592492587376003531
1592492587454206805,1592492587431519213
1592492587581682119,1592492587551846758
1592492587707517576,1592492587679155047
1592492587794462365,1592492587761194692
1592492587899297331,1592492587866644979
1592492588026609556,1592492587996379140
1592492588155140666,1592492588124511715
1592492588183496948,1592492588168926355
1592492588301074250,1592492588270558124
1592492588426789509,1592492588397889982
1592492588555747913,1592492588524513502
1592492588569648449,1592492588556513592
1592492588698972748,1592492588665870405
1592492588826387364,1592492588796356802
1592492588946810251,1592492588917442091
1592492588969639039,1592492588957993153
1592492589098514573,1592492589067486341
1592492589228279094,1592492589196396684
1592492589337788682,1592492589304166738
1592492589355199947,1592492589340881577
1592492589484047221,1592492589452650563
1592492589610376021,1592492589580793388
1592492589725069805,1592492589693998575
1592492589752960585,1592492589740887888
1592492589880616271,1592492589851031693
1592492590011619102,1592492589977654296
1592492590114136261,1592492590082346633
1592492590201755379,1592492590167502865
1592492590327219521,1592492590298704430
1592492590454946179,1592492590424538073
1592492590508151674,1592492590487773432
1592492590604876076,1592492590574540149
1592492590730918742,1592492590701898833
1592492590859420563,1592492590828446345
1592492590894110190,1592492590879193955
1592492591000773749,1592492590971421220
1592492591129143944,1592492591097905764
1592492591255573420,1592492591226050950
1592492591280171178,1592492591265143383
1592492591395035934,1592492591368981600
1592492591521533220,1592492591491689472
1592492591650893826,1592492591619007716
1592492591663015765,1592492591648488579
1592492591759762713,1592492591747164536
1592492591889358520,1592492591858087781
1592492592015817487,1592492591986275072
1592492592029810277,1592492592018972100
1592492592154353691,1592492592122936483
1592492592278263493,1592492592251041887
1592492592401865924,1592492592372173558
1592492592419466484,1592492592408864771
1592492592549724114,1592492592517537199
1592492592679658910,1592492592647238317
1592492592791018412,1592492592759690672
1592492592826622183,1592492592814318947
1592492592952642597,1592492592924519616
1592492593080914423,1592492593050285008
1592492593178914436,1592492593144925414
1592492593264257594,1592492593231554544
1592492593388353630,1592492593361251482
1592492593516010804,1592492593485463467
1592492593564016353,1592492593551776968
1592492593693868920,1592492593662017162
1592492593821165270,1592492593790914816
1592492593937411287,1592492593908106140
1592492593961683590,1592492593949462307
1592492594090767575,1592492594059693148
1592492594212453896,1592492594187878053
1592492594320642560,1592492594288601259
1592492594373603076,1592492594347172595
1592492594498376537,1592492594471440554
1592492594626125397,1592492594595671627
1592492594717497491,1592492594686271838
1592492594754136486,1592492594740091167
1592492594881653395,1592492594851895209
1592492595010125412,1592492594978447733
1592492595088192546,1592492595074594155
1592492595186803993,1592492595152719219
1592492595314604580,1592492595283916931
1592492595443394386,1592492595411316170
1592492595480123558,1592492595465217048
1592492595596790074,1592492595562895369
1592492595724589547,1592492595693356855
1592492595853514863,1592492595821476661
1592492595869809628,1592492595857378442
1592492595988227812,1592492595955879763
1592492596115676000,1592492596085550121
1592492596244234952,1592492596212909643
1592492596258733296,1592492596246355517
1592492596391367293,1592492596356639039
1592492596519359233,1592492596487917023
1592492596640786628,1592492596608158114
1592492596661665841,1592492596648809591
1592492596786974620,1592492596758144044
1592492596912726136,1592492596884721687
1592492597025504906,1592492596993293788
1592492597051546489,1592492597039343217
1592492597177598493,1592492597149575008
1592492597307955072,1592492597275398939
1592492597413573688,1592492597380887520
1592492597455584486,1592492597439418905
1592492597581930689,1592492597552726973
1592492597710724206,1592492597679297962
1592492597802604032,1592492597771427687
