Linux 5.4.0-39-lowlatency (jelly) 	06/27/2020 	_x86_64_	(8 CPU)

06:10:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:26 AM     all      3.07      0.00      2.94      0.00      0.00     93.99
06:10:26 AM       0      1.01      0.00      1.01      0.00      0.00     97.98
06:10:26 AM       1      5.00      0.00      2.00      0.00      0.00     93.00
06:10:26 AM       2      4.12      0.00      1.03      0.00      0.00     94.85
06:10:26 AM       3      3.09      0.00      1.03      0.00      0.00     95.88
06:10:26 AM       4      1.03      0.00      5.15      0.00      0.00     93.81
06:10:26 AM       5      1.01      0.00      0.00      0.00      0.00     98.99
06:10:26 AM       6      2.11      0.00     10.53      0.00      0.00     87.37
06:10:26 AM       7      7.14      0.00      3.06      0.00      0.00     89.80

06:10:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:27 AM     all      2.43      0.00      1.92      0.13      0.00     95.53
06:10:27 AM       0      2.06      0.00      0.00      0.00      0.00     97.94
06:10:27 AM       1      1.02      0.00      1.02      0.00      0.00     97.96
06:10:27 AM       2      3.06      0.00      1.02      0.00      0.00     95.92
06:10:27 AM       3      3.03      0.00      0.00      0.00      0.00     96.97
06:10:27 AM       4      5.05      0.00      4.04      0.00      0.00     90.91
06:10:27 AM       5      2.02      0.00      1.01      0.00      0.00     96.97
06:10:27 AM       6      1.06      0.00      7.45      1.06      0.00     90.43
06:10:27 AM       7      2.02      0.00      1.01      0.00      0.00     96.97

06:10:27 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:28 AM     all      2.17      0.00      2.93      0.13      0.00     94.77
06:10:28 AM       0      1.01      0.00      1.01      1.01      0.00     96.97
06:10:28 AM       1      1.01      0.00      2.02      0.00      0.00     96.97
06:10:28 AM       2      2.04      0.00      2.04      0.00      0.00     95.92
06:10:28 AM       3      6.06      0.00      1.01      0.00      0.00     92.93
06:10:28 AM       4      3.06      0.00      5.10      0.00      0.00     91.84
06:10:28 AM       5      1.01      0.00      2.02      0.00      0.00     96.97
06:10:28 AM       6      0.00      0.00      8.51      0.00      0.00     91.49
06:10:28 AM       7      3.06      0.00      2.04      0.00      0.00     94.90

06:10:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:29 AM     all      1.15      0.00      2.29      0.00      0.00     96.56
06:10:29 AM       0      1.01      0.00      0.00      0.00      0.00     98.99
06:10:29 AM       1      1.01      0.00      1.01      0.00      0.00     97.98
06:10:29 AM       2      1.03      0.00      0.00      0.00      0.00     98.97
06:10:29 AM       3      2.00      0.00      1.00      0.00      0.00     97.00
06:10:29 AM       4      1.03      0.00      5.15      0.00      0.00     93.81
06:10:29 AM       5      1.01      0.00      1.01      0.00      0.00     97.98
06:10:29 AM       6      1.04      0.00      8.33      0.00      0.00     90.62
06:10:29 AM       7      1.01      0.00      2.02      0.00      0.00     96.97

06:10:29 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:30 AM     all      7.11      0.00      2.92      0.00      0.00     89.97
06:10:30 AM       0      2.04      0.00      1.02      0.00      0.00     96.94
06:10:30 AM       1      6.00      0.00      4.00      0.00      0.00     90.00
06:10:30 AM       2      2.04      0.00      2.04      0.00      0.00     95.92
06:10:30 AM       3     20.20      0.00      2.02      0.00      0.00     77.78
06:10:30 AM       4      1.03      0.00      3.09      0.00      0.00     95.88
06:10:30 AM       5      2.97      0.00      1.98      0.00      0.00     95.05
06:10:30 AM       6      1.03      0.00      5.15      0.00      0.00     93.81
06:10:30 AM       7     21.43      0.00      4.08      0.00      0.00     74.49

06:10:30 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:31 AM     all      1.52      0.00      1.01      0.13      0.00     97.35
06:10:31 AM       0      3.03      0.00      0.00      0.00      0.00     96.97
06:10:31 AM       1      5.00      0.00      2.00      0.00      0.00     93.00
06:10:31 AM       2      0.99      0.00      0.99      0.99      0.00     97.03
06:10:31 AM       3      1.02      0.00      0.00      0.00      0.00     98.98
06:10:31 AM       4      0.00      0.00      4.04      0.00      0.00     95.96
06:10:31 AM       5      1.01      0.00      1.01      0.00      0.00     97.98
06:10:31 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:10:31 AM       7      1.02      0.00      0.00      0.00      0.00     98.98

06:10:31 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:32 AM     all      2.91      0.00      1.65      0.00      0.00     95.44
06:10:32 AM       0      1.00      0.00      1.00      0.00      0.00     98.00
06:10:32 AM       1      6.06      0.00      1.01      0.00      0.00     92.93
06:10:32 AM       2      0.00      0.00      1.01      0.00      0.00     98.99
06:10:32 AM       3      2.02      0.00      0.00      0.00      0.00     97.98
06:10:32 AM       4      1.01      0.00      7.07      0.00      0.00     91.92
06:10:32 AM       5     10.10      0.00      1.01      0.00      0.00     88.89
06:10:32 AM       6      1.02      0.00      0.00      0.00      0.00     98.98
