Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2020-06-27 06:10:34,7,1.02,0.00,1.02,0.00,0.00,97.96
2020-06-27 06:10:35,0,1.00,0.00,8.00,0.00,0.00,91.00
2020-06-27 06:10:35,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:35,2,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:35,3,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:35,4,0.00,0.00,2.00,0.00,0.00,98.00
2020-06-27 06:10:35,5,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:35,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:35,7,1.04,0.00,2.08,0.00,0.00,96.88
2020-06-27 06:10:36,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,1,0.00,0.00,0.99,0.00,0.00,99.01
2020-06-27 06:10:36,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,4,1.02,0.00,8.16,0.00,0.00,90.82
2020-06-27 06:10:36,5,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:36,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,7,1.02,0.00,2.04,0.00,0.00,96.94
2020-06-27 06:10:37,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:37,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:37,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:37,3,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:37,4,0.00,0.00,7.22,0.00,0.00,92.78
2020-06-27 06:10:37,5,2.02,0.00,0.00,0.00,0.00,97.98
2020-06-27 06:10:37,6,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:37,7,0.00,0.00,2.06,1.03,0.00,96.91
2020-06-27 06:10:38,0,0.99,0.00,0.99,0.99,0.00,97.03
2020-06-27 06:10:38,1,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:38,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:38,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:38,4,1.00,0.00,2.00,0.00,0.00,97.00
2020-06-27 06:10:38,5,1.98,0.00,0.99,0.00,0.00,97.03
2020-06-27 06:10:38,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:38,7,0.00,0.00,1.01,0.00,0.00,98.99
2020-06-27 06:10:39,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:39,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:39,2,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:39,3,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:39,4,0.00,0.00,8.16,0.00,0.00,91.84
2020-06-27 06:10:39,5,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:39,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:39,7,0.00,0.00,2.06,0.00,0.00,97.94
2020-06-27 06:10:40,0,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:40,1,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:40,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:40,3,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:40,4,0.00,0.00,9.18,0.00,0.00,90.82
2020-06-27 06:10:40,5,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:40,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:40,7,1.04,0.00,1.04,0.00,0.00,97.92
2020-06-27 06:10:41,0,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:41,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:41,2,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:41,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:41,4,0.00,0.00,9.18,0.00,0.00,90.82
2020-06-27 06:10:41,5,1.00,0.00,1.00,0.00,0.00,98.00
2020-06-27 06:10:41,6,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:41,7,0.00,0.00,2.08,0.00,0.00,97.92
2020-06-27 06:10:42,0,0.00,0.00,5.05,0.00,0.00,94.95
2020-06-27 06:10:42,1,0.00,0.00,0.99,0.00,0.00,99.01
2020-06-27 06:10:42,2,2.02,0.00,0.00,0.00,0.00,97.98
2020-06-27 06:10:42,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:42,4,1.00,0.00,5.00,0.00,0.00,94.00
2020-06-27 06:10:42,5,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:42,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:42,7,0.00,0.00,2.06,0.00,0.00,97.94
2020-06-27 06:10:43,0,0.00,0.00,9.09,0.00,0.00,90.91
2020-06-27 06:10:43,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:43,2,0.98,0.00,0.98,0.98,0.00,97.06
2020-06-27 06:10:43,3,0.00,0.00,0.99,0.99,0.00,98.02
2020-06-27 06:10:43,4,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:43,5,0.00,0.00,0.00,1.01,0.00,98.99
2020-06-27 06:10:43,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:43,7,2.04,0.00,2.04,0.00,0.00,95.92
2020-06-27 06:10:44,0,0.00,0.00,1.02,0.00,0.00,98.98
2020-06-27 06:10:44,1,1.00,0.00,1.00,0.00,0.00,98.00
2020-06-27 06:10:44,2,2.02,0.00,1.01,0.00,0.00,96.97
2020-06-27 06:10:44,3,1.03,0.00,0.00,0.00,0.00,98.97
2020-06-27 06:10:44,4,1.02,0.00,7.14,0.00,0.00,91.84
2020-06-27 06:10:44,5,2.02,0.00,1.01,0.00,0.00,96.97
2020-06-27 06:10:44,6,3.00,0.00,1.00,0.00,0.00,96.00
2020-06-27 06:10:44,7,2.06,0.00,2.06,0.00,0.00,95.88
2020-06-27 06:10:45,0,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:45,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:45,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:45,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:45,4,0.00,0.00,8.00,0.00,0.00,92.00
2020-06-27 06:10:45,5,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:45,6,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:45,7,1.03,0.00,1.03,0.00,0.00,97.94
2020-06-27 06:10:46,0,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:46,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:46,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:46,3,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:46,4,0.00,0.00,8.16,0.00,0.00,91.84
2020-06-27 06:10:46,5,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:46,6,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:46,7,0.00,0.00,2.06,0.00,0.00,97.94
2020-06-27 06:10:47,0,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:10:47,1,2.00,0.00,2.00,0.00,0.00,96.00
2020-06-27 06:10:47,2,4.04,0.00,4.04,0.00,0.00,91.92
2020-06-27 06:10:47,3,1.00,0.00,1.00,0.00,0.00,98.00
2020-06-27 06:10:47,4,0.00,0.00,9.09,0.00,0.00,90.91
2020-06-27 06:10:47,5,4.08,0.00,2.04,0.00,0.00,93.88
2020-06-27 06:10:47,6,2.04,0.00,6.12,0.00,0.00,91.84
2020-06-27 06:10:47,7,1.03,0.00,2.06,0.00,0.00,96.91
2020-06-27 06:10:48,0,4.04,0.00,6.06,1.01,0.00,88.89
2020-06-27 06:10:48,1,6.06,0.00,6.06,0.00,0.00,87.88
2020-06-27 06:10:48,2,1.02,0.00,1.02,0.00,0.00,97.96
2020-06-27 06:10:48,3,7.22,0.00,6.19,0.00,0.00,86.60
2020-06-27 06:10:48,4,3.06,0.00,6.12,0.00,0.00,90.82
2020-06-27 06:10:48,5,7.00,0.00,4.00,0.00,0.00,89.00
