Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2020-06-27 06:14:45,0,1.03,0.00,0.00,0.00,0.00,98.97
2020-06-27 06:14:45,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:14:45,2,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:45,3,2.00,0.00,1.00,0.00,0.00,97.00
2020-06-27 06:14:45,4,1.01,0.00,6.06,0.00,0.00,92.93
2020-06-27 06:14:45,5,1.00,0.00,2.00,0.00,0.00,97.00
2020-06-27 06:14:45,6,0.00,0.00,7.37,0.00,0.00,92.63
2020-06-27 06:14:45,7,0.00,0.00,2.04,0.00,0.00,97.96
2020-06-27 06:14:46,0,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:46,1,1.98,0.00,1.98,0.00,0.00,96.04
2020-06-27 06:14:46,2,3.03,0.00,1.01,0.00,0.00,95.96
2020-06-27 06:14:46,3,3.06,0.00,1.02,0.00,0.00,95.92
2020-06-27 06:14:46,4,1.03,0.00,4.12,0.00,0.00,94.85
2020-06-27 06:14:46,5,2.00,0.00,1.00,0.00,0.00,97.00
2020-06-27 06:14:46,6,1.05,0.00,8.42,0.00,0.00,90.53
2020-06-27 06:14:46,7,0.00,0.00,1.03,0.00,0.00,98.97
2020-06-27 06:14:47,0,2.97,0.00,0.99,0.00,0.00,96.04
2020-06-27 06:14:47,1,1.02,0.00,1.02,0.00,0.00,97.96
2020-06-27 06:14:47,2,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:47,3,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:14:47,4,2.00,0.00,2.00,0.00,0.00,96.00
2020-06-27 06:14:47,5,3.06,0.00,0.00,0.00,0.00,96.94
2020-06-27 06:14:47,6,1.05,0.00,8.42,0.00,0.00,90.53
2020-06-27 06:14:47,7,1.00,0.00,1.00,0.00,0.00,98.00
2020-06-27 06:14:48,0,1.02,0.00,0.00,1.02,0.00,97.96
2020-06-27 06:14:48,1,2.97,0.00,1.98,0.00,0.00,95.05
2020-06-27 06:14:48,2,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:14:48,3,2.00,0.00,1.00,0.00,0.00,97.00
2020-06-27 06:14:48,4,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:14:48,5,2.02,0.00,1.01,0.00,0.00,96.97
2020-06-27 06:14:48,6,0.00,0.00,7.37,0.00,0.00,92.63
2020-06-27 06:14:48,7,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:49,0,2.06,0.00,0.00,0.00,0.00,97.94
2020-06-27 06:14:49,1,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:49,2,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:14:49,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:14:49,4,2.02,0.00,7.07,0.00,0.00,90.91
2020-06-27 06:14:49,5,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:49,6,1.06,0.00,8.51,0.00,0.00,90.43
2020-06-27 06:14:49,7,2.04,0.00,2.04,0.00,0.00,95.92
2020-06-27 06:14:50,0,2.00,0.00,1.00,1.00,0.00,96.00
2020-06-27 06:14:50,1,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:14:50,2,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:14:50,3,3.06,0.00,1.02,0.00,0.00,95.92
2020-06-27 06:14:50,4,0.00,0.00,8.25,0.00,0.00,91.75
2020-06-27 06:14:50,5,1.02,0.00,0.00,0.00,0.00,98.98
