recv_stamp,msg_stamp
1588362914089820978,1588362914085363999
1588362914190009872,1588362914185342484
1588362914289626051,1588362914285132796
1588362914389531764,1588362914385022321
1588362914489648515,1588362914485144424
1588362914589416705,1588362914584901069
1588362914689785472,1588362914684892419
1588362914789293959,1588362914784820467
1588362914889400270,1588362914884884760
1588362914989519709,1588362914984869594
1588362915089543618,1588362915085041164
1588362915189472114,1588362915185037522
1588362915289445988,1588362915284994197
1588362915389401849,1588362915385030490
1588362915489683990,1588362915485035631
1588362915589601397,1588362915585077341
1588362915689620762,1588362915685038896
1588362915789802592,1588362915785212136
1588362915889629703,1588362915885136394
1588362915989874132,1588362915985205079
1588362916089668593,1588362916085065073
1588362916189433857,1588362916185026140
1588362916289471417,1588362916285040442
1588362916389562576,1588362916384903044
1588362916489229459,1588362916484744229
1588362916589444029,1588362916585048048
1588362916689489829,1588362916685037414
1588362916790004863,1588362916784996843
1588362916889780036,1588362916885109135
1588362916989695369,1588362916985176293
1588362917089502037,1588362917085056606
1588362917189519363,1588362917185029159
1588362917289530844,1588362917284914571
1588362917389580157,1588362917385026512
1588362917489483839,1588362917485033776
1588362917589653455,1588362917584913748
1588362917689474352,1588362917684858171
1588362917789638973,1588362917785142180
1588362917889764959,1588362917885253751
1588362917989497544,1588362917985014376
1588362918089833551,1588362918085007223
1588362918189509948,1588362918184867246
1588362918289708290,1588362918285050209
1588362918389416786,1588362918384914513
1588362918489670579,1588362918485143543
1588362918589674961,1588362918585200636
1588362918689786854,1588362918685094639
1588362918789825747,1588362918785183875
1588362918890050505,1588362918885280965
1588362918989772152,1588362918985275602
1588362919089926459,1588362919085275350
1588362919189908169,1588362919185181971
1588362919289790304,1588362919285095126
1588362919389602209,1588362919385021863
1588362919489419529,1588362919484913679
1588362919589405201,1588362919585049911
1588362919689399235,1588362919685028628
1588362919789225965,1588362919784839513
1588362919889741724,1588362919885075254
1588362919989726736,1588362919985135713
1588362920089657691,1588362920085032836
1588362920189501893,1588362920185009259
1588362920289855976,1588362920285111777
1588362920389742564,1588362920385147337
1588362920489871211,1588362920485418395
1588362920589756765,1588362920585235477
1588362920689756853,1588362920685103492
1588362920789530617,1588362920785028324
1588362920889670427,1588362920885151627
1588362920989494297,1588362920984896158
1588362921089490139,1588362921085013654
1588362921189565862,1588362921184936814
1588362921289374589,1588362921284877760
1588362921389487687,1588362921385060571
1588362921489207430,1588362921484682673
1588362921589385396,1588362921584910657
1588362921689315189,1588362921684810727
1588362921789455830,1588362921785045718
1588362921889853977,1588362921885012305
1588362921989613073,1588362921985105810
1588362922089668560,1588362922085049220
1588362922189854879,1588362922185080086
1588362922289805252,1588362922285213098
1588362922389798809,1588362922385224441
1588362922489418812,1588362922485033517
1588362922589607909,1588362922585047309
1588362922689533220,1588362922684900884
1588362922789715681,1588362922784917056
1588362922889714598,1588362922885020099
1588362922989512921,1588362922984917185
1588362923089616217,1588362923085120265
1588362923189918164,1588362923184990525
